"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 09 19:54:15 GMT 2024","Tue Jan 09 19:54:16 GMT 2024","1605","chromium","testByuseModule.spec.ts","","","","User should be able to register2 to our application",""
"passed","Tue Jan 09 19:53:31 GMT 2024","Tue Jan 09 19:53:44 GMT 2024","12899","chromium","testByuseModule.spec.ts","","","","User should be able to createTOdo to our application BY Pages",""
"passed","Tue Jan 09 19:53:29 GMT 2024","Tue Jan 09 19:53:31 GMT 2024","1930","chromium","testByuseModule.spec.ts","","","","User should be able to register to our application by pages",""
"passed","Tue Jan 09 19:53:44 GMT 2024","Tue Jan 09 19:53:47 GMT 2024","3667","chromium","testByuseModule.spec.ts","","","","User should be able to delete to our application BY Pages",""
"passed","Tue Jan 09 19:54:11 GMT 2024","Tue Jan 09 19:54:13 GMT 2024","1912","chromium","testByuseModule.spec.ts","","","","User should be able to register to our application a",""
"passed","Tue Jan 09 19:53:03 GMT 2024","Tue Jan 09 19:53:05 GMT 2024","1960","chromium","testByuseModule.spec.ts","","","","User should be able to register to our application BY API using module api",""
"passed","Tue Jan 09 19:52:58 GMT 2024","Tue Jan 09 19:53:01 GMT 2024","3252","chromium","createToDO.spec.ts","user create to do and delete by using api","","","User should be able to delete ToDo by apis",""
"passed","Tue Jan 09 19:54:10 GMT 2024","Tue Jan 09 19:54:11 GMT 2024","729","chromium","testByuseModule.spec.ts","","","","User should be able to register to our application BY API",""
"passed","Tue Jan 09 19:54:13 GMT 2024","Tue Jan 09 19:54:15 GMT 2024","1928","chromium","testByuseModule.spec.ts","","","","User should be able to login to our application",""
"broken","Tue Jan 09 19:52:24 GMT 2024","Tue Jan 09 19:52:56 GMT 2024","32277","chromium","createToDO.spec.ts","user create to do and delete by using api","","","User should be able to create ToDo",""
"passed","Tue Jan 09 19:53:01 GMT 2024","Tue Jan 09 19:53:03 GMT 2024","1944","chromium","testByuseModule.spec.ts","","","","User should be able to register to our application by use use module",""
"passed","Tue Jan 09 19:53:47 GMT 2024","Tue Jan 09 19:54:10 GMT 2024","22834","chromium","testByuseModule.spec.ts","","","","User should be able to create ToDo by module",""
"passed","Tue Jan 09 19:53:05 GMT 2024","Tue Jan 09 19:53:29 GMT 2024","23745","chromium","testByuseModule.spec.ts","","","","User should be able to create ToDo by using modules",""
